nu	S
2.681077510000000075e+02	1.717000000000000003e-28
2.681627419999999802e+02	1.088000000000000042e-24
2.683012529999999742e+02	1.417999999999999946e-26
2.683276839999999765e+02	8.390000000000000419e-30
2.683321849999999813e+02	2.517000000000000126e-29
2.683760750000000144e+02	4.363999999999999915e-29
2.684676539999999818e+02	1.405999999999999994e-27
2.684994459999999776e+02	7.226999999999999971e-26
2.686170829999999796e+02	2.188000000000000126e-29
2.689337100000000191e+02	4.905999999999999770e-27
2.691956829999999741e+02	3.144000000000000094e-30
2.691961220000000026e+02	1.048000000000000031e-30
2.692591469999999845e+02	1.343999999999999933e-27
2.692591479999999819e+02	4.480000000000000373e-28
2.693806599999999776e+02	2.749999999999999837e-28
2.693806599999999776e+02	8.250999999999999482e-28
2.694126759999999763e+02	8.847000000000000093e-29
2.696460119999999847e+02	7.451000000000000649e-30
2.696737489999999866e+02	1.765000000000000097e-27
2.697698280000000182e+02	7.397000000000000252e-29
2.697983580000000075e+02	4.742999999999999751e-28
2.697991710000000012e+02	3.846000000000000152e-28
2.699134250000000179e+02	4.933999999999999963e-30
2.699229930000000195e+02	1.480000000000000123e-29
2.699369919999999752e+02	3.202000000000000323e-30
2.699503750000000082e+02	1.067000000000000040e-30
2.700261510000000271e+02	7.676999999999999995e-30
2.700294000000000096e+02	4.408000000000000031e-29
2.700542239999999765e+02	1.637000000000000122e-30
2.701458749999999895e+02	1.294000000000000010e-25
2.701937130000000025e+02	1.006999999999999933e-26
2.702015610000000265e+02	2.956000000000000134e-29
2.704785860000000071e+02	1.925000000000000002e-26
2.706253570000000082e+02	1.157999999999999928e-27
2.706709490000000073e+02	5.813000000000000148e-30
2.706961049999999886e+02	1.453999999999999953e-29
2.707143070000000193e+02	8.918999999999999874e-29
2.707182760000000030e+02	7.883999999999999648e-29
2.707182879999999727e+02	2.364999999999999833e-28
2.710378499999999917e+02	1.281000000000000135e-29
2.710874360000000252e+02	3.688000000000000263e-27
2.711208209999999781e+02	3.906999999999999958e-25
2.712494580000000042e+02	2.035000000000000100e-30
2.712693439999999896e+02	4.117999999999999727e-29
2.713459219999999732e+02	1.105000000000000057e-30
2.714018320000000131e+02	4.733000000000000030e-27
2.715208650000000148e+02	2.086000000000000132e-30
2.718425270000000182e+02	9.237999999999999373e-21
2.718988239999999905e+02	1.298000000000000052e-29
2.720680269999999723e+02	1.628999999999999951e-27
2.721056679999999801e+02	1.600000000000000062e-24
2.722978659999999991e+02	8.869999999999999898e-29
2.722978749999999764e+02	2.661000000000000082e-28
2.726555010000000152e+02	5.156999999999999925e-30
2.727056269999999927e+02	1.442999999999999924e-29
2.727267320000000268e+02	5.028999999999999831e-30
2.727577590000000214e+02	1.643000000000000072e-22
2.727908820000000105e+02	5.336000000000000131e-27
2.728869720000000143e+02	2.276000000000000078e-28
2.729189840000000231e+02	4.444999999999999794e-23
2.729672340000000190e+02	9.515000000000000353e-23
2.729816440000000171e+02	3.171999999999999982e-23
2.729867859999999951e+02	1.139999999999999990e-30
2.729998279999999795e+02	1.204000000000000029e-21
2.732087319999999977e+02	7.300999999999999796e-29
2.732265729999999735e+02	2.441999999999999979e-29
2.733035019999999804e+02	1.239999999999999963e-29
2.734427999999999770e+02	2.668999999999999858e-28
2.734427999999999770e+02	8.896999999999999817e-29
